"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"嘗試綁定一個已經被其他帳號註冊的手機號碼","2","綁定失敗 - 手機號碼已被註冊","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestBindPhone","test_bind_phone","",""
"帳號5碼","251","註冊成功 - 帳號5碼, 密碼7碼(邊界值)","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestRegister","test_register","",""
"輸入不存在的帳號，驗證是否顯示錯誤訊息","372","帳號錯誤","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"名稱使用 - 非中英數","2","格式錯誤 - 非中英數","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestUpdateName","test_update_name","",""
"使用一個極大的 item_id 測試物品不存在的情境","2","獲取不存在的物品","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestItemWS","test_get_item","",""
"帳號留空，密碼已輸入，驗證是否顯示錯誤訊息","272","帳號留空","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"輸入正確的帳號及錯誤的密碼，驗證是否顯示錯誤訊息","324","密碼錯誤","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"使用 item_id=1 測試是否能成功獲取物品","2","獲取存在的物品","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestItemWS","test_get_item","",""
"手機號碼長度超過10碼","2","格式錯誤 - 長度過長 (11碼)","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestBindPhone","test_bind_phone","",""
"反向測試：帳號長度不足5碼","3","格式錯誤 - 帳號過短","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestRegister","test_register","",""
"輸入正確帳號，但密碼錯誤","249","密碼有誤","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestLogin","test_login","",""
"模擬使用者從登入、瀏覽、加入購物車到完成結帳的完整流程。","1385","UI 成功購買商品","testcases.ui_test.scenario","2026-08-07","passed","2026-08-07","TestProductPurchase","test_purchase_a_product","",""
"模擬使用者從登入、瀏覽、加入購物車到完成結帳的完整流程。","784","UI 成功購買商品","testcases.ui_test.scenario","2026-08-07","passed","2026-08-07","TestProductPurchase","test_purchase_a_product","",""
"帳號20碼","251","註冊成功 - 帳號20碼, 密碼20碼(邊界值)","testcases.api_test.http","2026-08-07","passed","2026-08-07","TestRegister","test_register","",""
"輸入不存在的帳號，驗證是否顯示錯誤訊息","318","帳號錯誤","testcases.ui_test.single_page","2026-08-07","passed","2026-08-07","TestLoginPage","test_login","",""
"測試登入後, 是否可以成功綁定手機 (09開頭, 10碼數字)","3","綁定成功 - 格式正確","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestBindPhone","test_bind_phone","",""
"測試登入後, 是否可以成功使用3碼變更名稱","3","變更名稱成功-3碼","testcases.api_test.ws","2026-08-07","passed","2026-08-07","TestUpdateName","test_update_name","",""
