"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"輸入正確的帳號密碼，驗證是否可以成功登入","362","UI 登入成功","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"密碼輸入21碼英數","261","格式錯誤 - 密碼過長-邊界值(21碼)","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestChangePassword","test_change_password","",""
"測試登入後, 是否可以成功使用3碼變更名稱","4","變更名稱成功-3碼","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestUpdateName","test_update_name","",""
"模擬使用者從登入、瀏覽、加入購物車到完成結帳的完整流程。","2186","UI 成功購買商品","testcases.ui_test.scenario","2026-08-14","passed","2026-08-14","TestProductPurchase","test_purchase_a_product","",""
"驗證載入 storage_state 後可直接進入商品頁，不需重新登入","317","test_directly_on_inventory_without_login[firefox]","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoggedInState","test_logged_in_state","",""
"反向測試：帳號長度超過20碼","3","格式錯誤 - 帳號過長","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestRegister","test_register","",""
"測試請求的 data 中不包含 item_id 欄位","2","請求中不帶 item_id","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestItemWS","test_get_item","",""
"請求中未帶入手機號碼","2","格式錯誤 - 未提供手機號碼","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestBindPhone","test_bind_phone","",""
"反向測試：使用已知的重複帳號","3","已存在帳號","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestRegister","test_register","",""
"反向測試：密碼長度6碼","4","格式錯誤 - 密碼過短","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestRegister","test_register","",""
"反向測試：密碼全英","3","格式錯誤 - 密碼全英","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestRegister","test_register","",""
"使用 item_id=0 測試邊界值","4","使用 item_id=0","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestGetItem","test_get_item","",""
"名稱使用 - 非中英數","2","格式錯誤 - 非中英數","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestUpdateName","test_update_name","",""
"輸入不存在的帳號，驗證是否顯示錯誤訊息","358","帳號錯誤","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"測試登入後，是否可以成功取得使用者自己的資訊","2","取得使用者資訊成功","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestGetUserInfo","test_get_user_info","",""
"帳號20碼","263","註冊成功 - 帳號20碼, 密碼20碼(邊界值)","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestRegister","test_register","",""
"使用 item_id=1 測試是否能成功獲取物品","4","獲取存在的物品","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestGetItem","test_get_item","",""
"驗證載入 storage_state 後可直接進入商品頁，不需重新登入","336","test_directly_on_inventory_without_login[chromium]","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoggedInState","test_logged_in_state","",""
"輸入不存在的帳號，驗證是否顯示錯誤訊息","289","帳號錯誤","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"反向測試：密碼長度21碼","3","格式錯誤 - 密碼過長","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestRegister","test_register","",""
"輸入正確的帳號及錯誤的密碼，驗證是否顯示錯誤訊息","288","密碼錯誤","testcases.ui_test.single_page","2026-08-14","passed","2026-08-14","TestLoginPage","test_login","",""
"密碼輸入全英","262","格式錯誤 - 密碼全英","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestChangePassword","test_change_password","",""
"測試是否能成功獲取所有物品的列表","4","成功獲取所有物品列表","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestGetItem","test_get_item","",""
"名稱使用 - 2碼","2","格式錯誤 - 2碼","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestUpdateName","test_update_name","",""
"反向測試：帳號長度不足5碼","3","格式錯誤 - 帳號過短","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestRegister","test_register","",""
"舊密碼輸入錯誤","261","變更密碼失敗-舊密碼輸入錯誤","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestChangePassword","test_change_password","",""
"輸入正確的帳號密碼測試是否可以登入","261","登入成功","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestLogin","test_login","",""
"使用 item_id=1 測試是否能成功獲取物品","2","獲取存在的物品","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestItemWS","test_get_item","",""
"測試連線後，是否可以成功獲取所有物品的列表。","2","成功獲取所有物品列表","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestItemWS","test_get_item","",""
"測試登入後, 是否可以成功使用12碼變更名稱","3","變更名稱成功-12碼","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestUpdateName","test_update_name","",""
"帳號5碼","263","註冊成功 - 帳號5碼, 密碼7碼(邊界值)","testcases.api_test.http","2026-08-14","passed","2026-08-14","TestRegister","test_register","",""
"名稱使用 - 13碼","2","格式錯誤 - 13碼","testcases.api_test.ws","2026-08-14","passed","2026-08-14","TestUpdateName","test_update_name","",""
